file_id,mean,std,rms,peak,peak_to_peak,crest_factor,skewness,kurtosis,energy,spectral_mean,spectral_std,spectral_peak,peak_frequency,spectral_energy,spectral_entropy,fault_band_1_power,fault_band_2_power,fault_band_3_power,fault_band_4_power,rpm_mean,rpm_std,rpm_min,rpm_max,rpm_range,rpm_trend
21,-8.412825991399586e-18,1.0,1.0,4.164442078457495,8.115541530185233,4.164442078457495,-0.038624313175814204,-0.09163815402896036,187500.0,188.78492939778658,389.6947707271638,29591.671991588275,5068.5,17578102863.844604,11.300492179539832,281328.07057219645,70280170.50293583,28421611.227025572,22837216.96114728,592302831.0393351,536689.1356222751,591474564.4907058,593802914.437491,2328349.9467852116,1922.6006440872509
22,1.318767317570746e-17,1.0,1.0,3.973209512833649,7.696236653188975,3.973209512833649,0.03470293783069293,-0.1974494271281202,187500.00000000003,185.41481083647338,391.3097847785617,19997.099629071756,29941.0,17578124973.71615,11.328925883011966,366694.24326589284,19955322.13393611,25078111.32115437,49372153.968210414,591496401.7985134,485487.2818623167,590576602.2474287,592653623.7213186,2077021.473889947,-2334.8174644868773
23,2.2974215122909906e-17,0.9999999999999998,0.9999999999999998,4.3098936589715775,8.492736036282613,4.309893658971578,-0.0015179364397952865,-0.04239153519169481,187499.99999999994,232.27621618370733,365.44395114258305,40684.270000364435,5197.5,17578080188.914497,12.55855039530947,325699.86394429574,32655949.256082714,24133514.703012586,211878513.38115263,591865645.2663554,152516.34699634742,591510017.2878712,592282324.4001362,772307.1122649908,-51.24955022256413
24,-7.579122514774402e-18,0.9999999999999999,0.9999999999999999,4.518355310757864,8.702166586869446,4.5183553107578645,0.048136015863614406,-0.04502909801835164,187499.99999999997,196.11709781563005,386.05635301339595,20695.89764683263,5224.0,17578070975.853977,12.108789397401676,165018.29429983723,17219113.729308084,15370010.313219633,62652968.166124836,591800023.5450912,153963.05318183513,591491357.391172,592208120.357754,716762.9665819407,-87.03515580951012
25,5.231015620665857e-17,1.0,1.0,4.291020685093975,8.439701264665825,4.291020685093975,-0.0009613589421387844,-0.047542219760957405,187500.00000000006,213.00423491795124,377.00279694032474,30158.568232487454,5182.0,17578116841.256645,11.862369046735695,523740.8485915754,43382759.11812024,41904299.5565114,357530987.64404535,592521779.1678287,99417.82390635538,592252391.1203083,592810395.523088,558004.4027796984,-69.69217639821156
26,-3.204074043120878e-17,1.0,1.0,4.254308892476851,8.477769115991737,4.254308892476851,-0.01916471428181612,-0.14212510033272396,187500.0,198.77480431186635,384.6953937643533,25965.89259365303,29923.0,17578122074.22477,11.06895730960737,411149.52105278365,34484250.5638566,34271274.24663108,57784711.90022667,591952981.5631773,108858.15739770849,591658716.5265788,592219343.3050787,560626.7784999609,-230.98310673242585
27,-1.665512172621675e-17,1.0,1.0,4.2285233646664535,8.378394136102896,4.2285233646664535,0.019138642810384295,-0.08686465522167142,187500.0,199.24776801748453,384.45039760894934,27959.211390078635,5223.5,17578104493.371395,11.722794635898177,519548.83270857704,29786280.85893003,30385813.40191879,177700179.14190117,592190992.6839937,235018.32745441265,591806245.2655375,592864129.2433246,1057883.977787137,-1007.1891900126492
28,2.6526928801710407e-17,1.0,1.0,3.9891262534729743,7.8360180865305775,3.9891262534729743,0.04511911824777047,-0.22410667791148642,187500.0,188.55688420268288,389.80541059515866,19608.051411703727,45038.0,17578120939.557434,11.18556269120121,314585.910805122,21027245.02917297,21873444.283687934,78331172.83460818,591666025.5170552,330941.8858408705,590857620.6452585,592445763.5651685,1588142.919909954,-718.7847969265188
29,1.3794002976889412e-17,1.0,1.0,4.415820594540664,8.39404870724631,4.415820594540664,0.017374864840627814,-0.05105212570694739,187500.00000000003,227.6376399165611,368.34841048813456,33363.03737178388,5037.0,17577885620.795624,12.167125963705457,536920.7890002095,124252586.8197211,236698652.24737787,50331447.69304514,592372859.8972692,223308.01415986606,591699170.6744378,592698585.6367714,999414.9623336792,906.9729603100577
30,-1.6901443207946915e-17,1.0,1.0,4.343143774735875,8.379707451628857,4.343143774735875,-0.011056650855367034,-0.11469407602963866,187500.0,201.37972924417681,383.33772888868725,16035.119814434227,5215.0,17578088411.51476,12.006637015700253,327815.5385863277,41019948.67850056,32830281.208644178,263733583.366474,591986196.1717128,309151.69756857463,591243292.6733103,592702332.7710094,1459040.0976991653,-533.55276106884
